None,None,None,Kales,Vitamin
None,None,None,Spinach,Vitamin
None,None,None,Lettuce,Vitamin
None,None,None,Cauliflower,Vitamin
None,None,None,Broccolli,Vitamin
None,None,None,Sprouts,Vitamin
None,None,None,Lentils,Vitamin
None,None,None,Carrots,Vitamin
None,None,None,Pumpkins,Vitamin
None,None,None,Terere,Vitamin
None,None,None,Oranges(Citrus),Vitamin
None,None,None,Apples,Vitamin
None,None,None,Mangoes,Vitamin
None,None,None,Plums,Vitamin
None,None,None,Banana,Vitamin
None,None,None,Pawpaw,Vitamin
None,None,None,Pears,Vitamin
None,None,None,Sugar cane,Vitamin
None,None,None,Tomatoes,Vitamin
None,None,None,Pomagranate,Vitamin
None,None,None,Peach,Vitamin
None,None,None,Strawberries,Vitamin
None,None,None,Gooseberries,Vitamin
None,None,None,Pinapple,Vitamin
None,None,None,Grapes,Vitamin
None,None,None,Raspberries,Vitamin
None,None,None,Currants,Vitamin
None,None,None,Tomato,Vitamin
None,None,None,Cranberries,Vitamin
None,None,None,Blackberries,Vitamin
None,None,None,Blueberries,Vitamin
None,None,None,Mulberries,Vitamin
